1994/07/11???17:57:17,120.67,37.82,3,山东蓬莱西北海域
1994/07/11???22:36:17,120.67,37.8,3.6,山东蓬莱西北海域
1994/07/01???05:58:17,119.78,38.2,3.1,渤海
1994/06/21???08:05:12,120.63,37.83,3.8,山东蓬莱西北海域
1994/06/21???09:08:33,120.62,37.78,3.1,山东蓬莱西北海域
1994/05/30???12:59:06,124.3,35.4,3.4,黄海
1994/04/08???02:29:15,122.57,34.45,3.3,南黄海
1994/03/31???16:18:32,121.22,39.07,3.4,渤海
1994/03/20???13:44:47,117.58,35.83,3.3,山东新泰西南
1994/03/04???23:47:58,118.67,37.58,3.7,山东东营东北
1994/02/09???02:25:30,118.73,37.53,3,山东东营东北
1994/01/11???07:08:59,124.33,36.52,3.9,黄海
1994/01/11???18:36:21,115.68,36.47,3.3,山东冠县东
1994/01/10???20:23:02,120.47,38.53,3,渤海
1994/01/09???00:01:28,119.52,38.13,3,渤海
1994/01/09???12:22:07,121.17,34.17,3.3,黄海
1994/01/02???05:48:06,118.17,37.98,3.1,山东沾化北
1993/12/31???00:29:36,122.72,38.05,4.9,黄海
1993/12/31???17:16:25,122.73,38.03,4,黄海
1993/12/22???20:01:02,121.42,34.47,3.1,南黄海
1993/12/22???21:00:06,121.58,34.55,3.5,南黄海
1993/12/18???16:56:38,120.63,37.78,3.8,山东蓬莱西北海域
1993/12/03???03:49:03,115.42,35.35,3,山东菏泽
1993/11/09???06:10:41,114.67,36.82,3.2,河北省永年
1993/10/21???04:43:45,120.23,36.5,3.1,山东即墨西北
1993/10/18???15:51:07,114.98,36.33,3.9,河南省临障县
1993/06/26???22:36:31,113.17,37.57,4.2,山西榆次东南
1993/06/21???09:25:24,119.75,38.67,3.4,渤海
1993/06/20???23:24:27,118.73,37.53,3.4,山东东营
1993/06/14???03:00:56,119.93,37.42,4.1,莱州湾
1993/06/13???20:36:55,121.07,34.13,3.3,南黄海
1993/06/08???14:22:22,121.95,38.75,3,黄海北部
1993/05/15???20:33:20,122.6,34.45,3.4,南黄海
1996/10/30???15:40:33,119.77,38.35,3.3,渤海
1996/10/29???19:38:21,119.58,38.05,3,渤海
1996/10/15???00:33:12,119.13,36.12,3,山东诸城 .安丘交界
1996/10/14???13:53:56,122.53,34.53,3.3,南黄海
1996/10/13???22:50:39,121.25,33.85,3.3,南黄海
1996/09/27???07:30:20,117.9,37.98,3.8,山东无棣东北
1996/09/22???04:32:06,120.75,34.13,3.2,南黄海
1996/08/31???02:24:13,116.88,36.88,3,山东齐河东北
1996/08/21???21:50:41,121.95,36.37,3.8,黄海
1996/08/13???12:17:16,119.8,38.58,3.4,渤海
1996/08/12???14:47:11,117.35,33.38,3.1,安徽固镇
1996/08/03???12:03:37,121.17,33.78,3,南黄海
1996/07/30???17:19:46,120.97,38.22,3.3,渤海海峡
1996/07/28???14:58:36,121.25,33.7,3.3,黄海
1996/07/14???02:31:57,123.33,34.28,3.9,黄海
1996/06/23???04:37:18,120.6,38,3.1,渤海
1996/06/20???05:39:13,120.48,37.98,3.1,渤海
1996/06/17???22:34:03,120.65,37.97,3.5,渤海
1996/06/15???06:50:23,122.43,34.37,3.5,黄海
1996/06/02???12:26:53,116.87,33.35,3.1,安徽省蒙城
1996/05/31???01:47:20,120.45,32.75,3,江苏东台市
1996/05/31???14:13:21,118.93,38.22,3,渤海
1996/05/27???21:21:54,120.6,38.77,3.2,渤海
1996/05/26???18:58:31,124.97,38.52,3.9,黄海
1996/05/04???09:07:52,116.47,38.77,3.9,河北文安
1996/04/29???04:51:29,121.93,38.5,3.6,北黄海
1996/04/21???15:47:19,120.68,37.83,3,山东蓬莱西海中
1996/04/18???19:55:54,120.83,37.63,3.4,山东蓬莱东南
1996/03/29???14:41:14,123.47,36.42,3.1,黄海
1996/03/28???16:30:05,121.8,39.48,3.3,辽宁瓦房店
1996/03/25???15:09:13,120.43,38.27,3.8,渤海
1996/03/18???17:35:31,116.85,35.42,3,山东邹城西塌坊
1996/01/19???18:13:51,123.92,35.45,4.1,黄海
1995/12/10???17:53:48,121.92,36.2,3,黄海
1995/12/06???18:33:34,123.88,37.72,3.3,黄海
1995/10/06???06:26:50,118.5,39.8,4.8,河北唐山市古冶
1995/09/21???12:11:07,115.22,37.42,3.2,河北新河
1995/09/20???11:38:01,118.1,34.93,3.2,山东苍山
1995/09/12???13:03:59,115.25,37.4,3.8,河北省新河
1995/08/24???02:07:58,123.8,36.05,3.1,黄海
1995/08/23???22:08:36,115.05,35.9,3.5,河南清丰
1995/08/23???22:11:20,115.07,35.9,3.1,河南清丰
1995/08/12???02:17:47,124.32,38.03,4,黄海
1995/08/09???14:42:04,123.93,38.75,3.7,黄海
1995/08/04???09:15:28,123.53,36.9,3.3,黄海
1995/07/24???18:02:38,124.17,38,4.7,北黄海
1995/06/27???09:39:48,119.5,38.23,4,渤海
1995/06/23???10:16:47,114.58,36.67,3.5,河北永年
1995/06/14???02:05:02,120.42,38.32,3.1,渤海
1995/06/07???02:37:15,114.47,36.17,3.3,河南安阳
1998/02/11???02:39:10,123.67,37.67,3.5,北黄海
1998/02/11???05:34:20,123.63,37.72,3.3,北黄海
1998/02/10???20:11:24,123.67,37.67,5,北黄海
1998/02/08???16:20:41,122.5,39.98,4.5,辽宁瓦房店
1998/02/04???12:46:28,120.88,37.83,3.4,山东长岛东海域
1998/01/31???15:44:47,114.1,36.95,3,河北邢台西南
1998/01/29???16:43:32,123.33,40.02,4.8,辽宁岫岩
1998/01/29???18:12:40,114.98,37.43,3,河北巨鹿北
1998/01/26???19:58:06,123.77,35.08,3.6,南黄海
1998/01/10???03:57:53,114.32,36.33,3.1,河北邯郸
1998/01/10???11:50:32,114.3,41.1,6.2,河北张北- 尚义
1998/01/05???01:51:58,122.37,39.2,3.2,长山列岛
1997/11/29???14:29:02,119.58,37.83,3.4,渤海
1997/11/23???04:11:38,122.28,36.33,3.3,黄海
1997/10/28???11:51:43,121.7,38.35,3.3,黄海
1997/10/25???12:49:16,121.7,38.33,3.2,黄海
1997/10/14???22:14:51,121.17,34.07,3.1,黄海
1997/09/19???00:47:38,121.73,38.33,3,北黄海
1997/09/19???23:15:23,117.17,34.87,3.4,山东微山县
1997/09/18???14:32:05,121.2,37.98,4.8,北黄海
1997/09/18???14:37:37,121.2,37.98,3,北黄海
1997/09/17???16:25:44,121.72,38.35,3.2,北黄海
1997/09/14???04:17:03,124.13,34.28,3.3,南黄海
1997/08/29???10:35:39,122.42,34.47,3.2,南黄海
1997/08/16???00:29:32,115.2,37.78,3.4,河北省辛集南
1997/08/09???12:14:43,124.75,34.28,4.4,南黄海
1997/07/30???00:47:48,122.17,33.7,3.7,南黄海
1997/07/29???07:20:03,122.13,33.78,3.5,南黄海
1997/07/28???01:24:09,122.25,33.75,3.6,黄海
1997/07/28???02:31:57,122.08,33.63,4.9,南黄海
1997/07/13???08:08:03,123.83,36.05,3.6,黄海
1997/06/25???19:33:44,122.12,33.52,4.5,南黄海
1997/06/16???21:08:46,118.27,39,3,渤海
1997/04/25???22:37:02,123.52,35.95,3.1,黄海
1997/04/12???15:05:02,120.48,38.28,4.3,渤海
1997/04/01???03:30:57,121.1,33.48,4.5,黄海
1997/03/29???06:57:51,121.63,37.12,3,山东乳山
1997/03/25???11:40:46,121.62,36.88,4.1,山东乳山
1997/03/22???15:19:52,121.88,37.62,3.5,黄海
1997/02/28???20:43:16,118.52,39.38,4.1,河北乐亭
1997/02/14???16:37:18,123.13,31.73,4.5,南黄海
1997/01/28???09:39:28,120.35,38.22,3,渤海
1997/01/15???02:48:54,120.62,35.17,4.4,黄海
1996/12/26???10:50:05,122.07,34.1,3.1,南黄海
1996/12/22???14:12:28,115.9,37.97,3.6,河北武强南
1996/12/16???05:36:24,116.5,40.17,4.2,北京顺义
1996/11/17???13:14:35,121.22,33.4,3.9,南黄海
1996/11/10???20:33:10,125.3,37,4.3,北黄海
1996/11/09???21:56:55,123.17,31.67,6.2,南黄海
1996/11/01???05:23:56,122.28,34.43,3.1,南黄海
1999/01/20???14:13:25,117.83,39.35,3.5,天津宁河
1999/01/18???10:05:56,121.98,34.05,3.4,南黄海
1999/01/15???22:19:33,121.03,38.28,3,渤海海峡
1999/01/09???02:07:50,118.67,39.67,4,河北滦南
1998/12/26???11:55:56,115.32,35.78,4,河南省濮阳
1998/12/09???03:35:08,114.47,35.4,3.7,河南省长垣
1998/12/09???09:37:42,118.9,35.52,4.1,山东莒县
1998/11/21???17:12:21,121.42,34.08,3,黄海
1998/11/20???14:20:56,120.47,38.53,3.5,渤海
1998/11/09???03:49:37,115.95,38.42,3.5,河北河间
1998/11/09???13:22:42,118,39.5,3.4,河北丰南
1998/11/09???23:04:26,115.92,38.42,3.3,河北河间
1998/11/08???20:26:41,115.92,38.42,3.3,河北河间
1998/11/03???08:17:28,116.92,35.45,3.1,山东邹县煤矿塌方
1998/11/03???10:41:10,118.58,39.7,4,河北滦县
1998/10/15???20:51:10,115.93,38.17,3,河北武强北
1998/10/11???05:02:40,114.92,37.47,3,河北巨鹿北
1998/09/29???17:35:53,122.5,40.08,4.3,辽宁盖州
1998/09/26???01:38:25,120.95,35.92,3.7,黄海
1998/09/23???20:00:31,120.42,38.23,3.6,渤海海峡
1998/09/20???02:05:52,115,37.5,3,河北巨鹿北
1998/09/13???19:42:10,126.68,35.98,4.4,黄海
1998/09/06???21:26:03,120.2,40.58,4.2,辽宁省建昌
1998/09/04???07:12:59,115.45,35.92,3.1,山东莘县西南
1998/09/03???15:52:43,125.32,36.58,4.5,黄海
1998/08/30???22:34:00,121.6,32.5,3.9,南黄海
